,Original Title,Company,Rate,Metascore,Minutes,Release,Budget,Opening Weekend USA,Gross USA,Gross Worldwide
1,Iron Man,Marvel,7.9,79,126,2008,140000000,98618668,318604126,585366247
2,The Incredible Hulk,Marvel,6.7,61,112 ,2008,150000000,55414050,134806913,263427551
3,Iron Man 2,Marvel,7,57,124 ,2010,200000000,128122480,312433331,623933331
4,Thor,Marvel,7,57,115,2011,150000000 ,65723338,181030624,449326618
5,Captain America: The First Avenger,Marvel,6.9,66,124,2011,140000000,65058524,176654505,370569774
6,The Avengers,Marvel,8,69,143,2012,220000000,207438708,623357910,1518812988
7,Iron Man Three,Marvel,7.2,62,130,2013,200000000 ,174144585,409013994,1214811252
8,Thor: The Dark World,Marvel,6.9,54,112,2013,170000000,85737841,206362140,644783140
9,Captain America: The Winter Soldier,Marvel,7.7,70,136,2014,170000000,95023721,259766572,714421503
10,Guardians of the Galaxy,Marvel,8,76,121,2014,170000000,94320883,333176600,772776600
11,Avengers: Age of Ultron ,Marvel,7.3,66,141,2015,250000000,191271109,459005868,1402805868
12,Ant-Man,Marvel,7.3,64,117,2015,130000000,57225526,180202163,519311965
13,Captain America: Civil War,Marvel,7.8,75,147,2016,250000000,179139142,408084349,1153296293
14,Doctor Strange,Marvel,7.5,72,115,2016,165000000,85058311,232641920,677718395
15,Guardians of the Galaxy Vol. 2,Marvel,7.6,67,136,2017,200000000,146510104,389813101,863756051
16,Spider-Man: Homecoming,Marvel,7.4,73,133,2017,175000000 ,117027503,334201140,880166924
17,Thor:Ragnarok,Marvel,7.9,74,130,2017,180000000,122744989,315058289,853977126
18,Black Panther,Marvel,7.3,88,134,2018,200000000,202003951,700059566,1346913161
19,Avengers: Infinity War,Marvel,8.5,68,149,2018,321000000 ,257698183,678815482,2048359754
20,Ant-Man and the Wasp,Marvel,7.1,70,118,2018,162000000,75812205,216648740,622674139
21,Captain Marve,Marvel,6.9,64,123,2019,175000000 ,153433423,426829839,1128274794
22,Avengers: Endgame,Marvel,8.5,78,181,2019,356000000,357115007,858373000,2797800564
23,Spider-Man: Far from Home,Marvel,7.6,69,129,2019,160000000,92579212,390532085,1131927996
